name,title,url,date,keywords,content
Financial Times,Norway to cut oil production by 13%,https://www.ft.com/content/363b603e-8234-4a6b-9167-90371b7c4285,2020-04-30,"in,response,Opec,prices,honours,Norway,production,demand,by,13%,cut,and,unofficial,oil,Move,with,pact,drop,to","Move in response to drop in prices and demand and honours unofficial pact with Opec Norway will cut its oil production for the first time in 18 years, as Western Europe’s largest crude producer moves to respond to the coronavirus-linked crash in fuel demand.
The country’s oil and energy ministry said late on Wednesday that it would order pr… [+2975 chars]"
Fox Sports,"NFL News, Videos, Scores, Teams, Standings, Stats",https://www.foxsports.com/nfl,2020-04-30,"schedules,pro,Sports.,Stats,on,Teams,,NFL,rumors,,Scores,,fantasy,scores,,Find,&,games,News,,Standings,,live,standings,,player,stats,,news,,team,FOX,Videos,,football,videos,","Find live NFL scores, pro football player & team news, NFL videos, rumors, stats, standings, team schedules & fantasy football games on FOX Sports. None"
Financial Times,Microsoft growth accelerates as pandemic boosts cloud business,https://www.ft.com/content/ac054397-eb9a-4198-a050-18961f39feb9,2020-04-30,"boosts,in,cloud,says,pandemic,occurred,months,digital,years’,accelerates,as,of,Nadella,worth,transformation,Satya,has,2,business,Microsoft,growth","Satya Nadella says 2 years’ worth of digital transformation has occurred in 2 months Microsoft shrugged off the effects of the coronavirus crisis with surprisingly strong results in the latest quarter, as a jump in cloud-related business more than offset a hit to some of its traditional software sales.
The US software company reported revenu… [+2568 chars]"
Buzzfeed,"Do You Know All Of The Lyrics To Toto's ""Africa""?",https://www.buzzfeed.com/chartreusepenguin/only-the-coolest-people-know-all-the-lyrics-to-afr-cl13aj75l9,2020-04-30,"The,Of,I,To,All,Toto's,Do,Lyrics,bless,quiz!,""Africa""?,You,Know,this","I bless this quiz! I stopped an old man along the way, hoping to find some _________ or _________."
Financial Times,Coronavirus latest: S Korea reports zero new local cases,https://www.ft.com/content/f869440e-f0e4-39b3-8200-c4a1b585a6d0,2020-04-30,"contact,and,on,latest,testing,Data,cases,provide,of,new,zero,local,Seoul’s,mass,reports,S,tracing.,latest:,Korea,vindication,Coronavirus,focus","Data provide latest vindication of Seoul’s focus on mass testing and contact tracing. ANZ suspends dividend as profit drops
Jamie Smyth in Sydney
ANZ Bank suspended its dividend and reported a 51 per cent fall in interim profit to A$1.55bn ($1bn) on Thursday as the coronavirus crisis caused a hike in credit impairment charges.
The bank said… [+1868 chars]"
The Huffington Post,Police Called After NYC Funeral Home Fails To Contain Odor Of Bodies On Ice In Trucks,https://www.huffpost.com/entry/funeral-home-bodies-trucks_n_5eaa39fcc5b62eaf043ecd2e,2020-04-30,"in,After,overwhelmed,Called,Police,On,Odor,Bodies,Ice,dozens,funeral,of,In,home,to,putting,Home,the,bodies,Contain,vehicles.,NYC,Funeral,The,Of,To,Fails,resorted,Trucks,rented","The overwhelmed funeral home resorted to putting dozens of bodies in the rented vehicles. NEW YORK (AP) Police were called to a Brooklyn neighborhood Wednesday after a funeral home overwhelmed by the coronavirus resorted to storing dozens of bodies on ice in rented trucks, and a passerby complained about the smell, officials said.
Investigators w… [+1704 chars]"
BBC News,Trump says China wants him to lose re-election,http://www.bbc.co.uk/news/world-us-canada-52482109,2020-04-30,"says,faces,Trump,lose,over,Beijing,China,of,from,to,him,the,re-election,coronavirus.,wants,a,consequence,president,The,US,""lot"",possible","The US president says Beijing faces a ""lot"" of possible consequence from the US over coronavirus. Image copyrightReuters
US President Donald Trump has said China ""will do anything they can"" to make him lose his re-election bid, stepping up his criticism of Beijing amid the coronavirus pandemic.
In a White House interview with Reuters news agency, he sai… [+861 chars]"
Google News (Australia),"Coronavirus updates LIVE: Scott Morrison urges further downloads of COVIDSafe, global COVID-19 infections climb past 3.1 million as nation's death toll stands at 91",https://www.smh.com.au/national/coronavirus-updates-live-scott-morrison-urges-further-downloads-of-covidsafe-global-covid-19-infections-climb-past-3-1-million-as-nation-s-death-toll-stands-at-90-20200429-p54oco.html,2020-04-30,"080.,ring,coronavirus,death,3.1,stands,(not,downloads,or,at,past,on,1800,as,COVID-19,toll,family,of,Information,nation's,member,Health,suspect,COVIDSafe,,the,climb,million,If,should,a,has,infections,urges,visit),GP,call,your,LIVE:,updates,national,further,global,020,Coronavirus,Scott,91,you,Hotline,Morrison","If you suspect you or a family member has coronavirus you should call (not visit) your GP or ring the national Coronavirus Health Information Hotline on 1800 020 080. From noon on Friday, outdoor spaces such as playgrounds and waterparks will reopen. Territorians will also be allowed to gather for weddings and funerals outside, as well as participate in non-contact sports.
""This weekend is set to be pretty great outdoors,… [+1522 chars]"
Reuters,U.S. congressional Democrats push for coronavirus medical supply czar,http://feeds.reuters.com/~r/reuters/topNews/~3/NGiQMyZGoVY/u-s-congressional-democrats-push-for-coronavirus-medical-supply-czar-idUSKBN22B1XK,2020-04-30,"Republican,doubled,coronavirus,congressional,top,on,U.S.,for,Wednesday,Senate,czar,Democrats,bill,down,to,supply,the,while,a,push,protections.,Congressional,critical,medical,business,proposed,that,supplies,,oversee,would,demands,require","Congressional Democrats on Wednesday proposed a bill that would require a U.S. coronavirus supply czar to oversee critical medical supplies, while the top Senate Republican doubled down on demands for business protections. WASHINGTON (Reuters) - Congressional Democrats on Wednesday proposed a bill that would require a U.S. coronavirus supply czar to oversee critical medical supplies, while the top Senate Republican doubled down on demands for business protections. 
Democrats i… [+3162 chars]"
RTE,Covid-19 centre stage when the Dáil returns today,https://www.rte.ie/news/2020/0430/1135727-dail-covid-19-questoins/,2020-04-30,"when,the,The,Dáil,returns,stage,government's,handling,take,crisis,today.,of,today,Covid-19,will,centre","The government's handling of the Covid-19 crisis will take centre stage when the Dáil returns today. The government's handling of the Covid-19 crisis will take centre stage when the Dáil returns today.
Opposition parties will ask questions of the Taoiseach as well as Ministers for Health, Agriculture and Business, Enterprise and Innovation.
It's expected t… [+1329 chars]"
